,Reference,Year.published,Publication,Type.of.study,Year.study,Season,Location,Island.or.Mainland,Density..rats.ha...Mean..or.estimate..and.range,Mean.probability.survival.to.next.season,Dispersal.distance..metres.,Sex.ratio..female.male.,Sex.of.dispersers,Density.dependence,Male.home.range..ha..mean.and.range.,Female.home.range..ha..mean.and.range.,Movement.speed..metres.min..mean.and.range.,Number.of.embryos..mean.and.range.,Number.of.placental.scars..mean.and.range.,spp
79,Harper - Cited in Innes (in press),In press,Cited in book chapter: Handbook of the Mammals of New Zealand,Personal communication,NA,NA,Raoul Island,Island,,NA,,0.85:1,NA,NA,,NA,,,,Nrat
80,Harper - Cited in Innes (in press),In press,Cited in book chapter: Handbook of the Mammals of New Zealand,Personal communication,NA,NA,Stewart Island,Island,,NA,,1.04:1,NA,NA,,NA,,,,Nrat
86,Moller - Cited in Innes (in press),In press,Cited in book chapter: Handbook of the Mammals of New Zealand,Personal communication,NA,NA,Waewaetorea Island,Island,,NA,,1.42:1,NA,NA,,NA,,,,Nrat
8,Murphy & Nathan (in press),In press,Book: Handbook of the Mammals of New Zealand,Review,"1975-1980, 1999",All,Hollyford Valley,Mainland,Range: 4.6-5.9,NA,NA,,NA,NA,NA,NA,NA,,NA,mice
9,Murphy & Nathan (in press),In press,Book: Handbook of the Mammals of New Zealand,Review,211 & 2013,Summer and Winter,Antipodes Island,Island,Range: 55-104,NA,NA,,NA,NA,NA,NA,NA,,NA,mice
7,Murphy (1989) - Cited in Murphy & Nathan (in press),In press,Cited in chapter: Handbook of the Mammals of New Zealand,Original research,1984-1985,All,Allports Island,Island,Range: 2.2-17,NA,NA,,NA,NA,NA,NA,NA,,NA,mice
10,Murphy et al. (2011) - Cited in Murphy & Nathan (in press),In press,Cited in chapter: Handbook of the Mammals of New Zealand,Original research,2008,Summer-Winter,Saddle Island,Island,Range: 8.8-19.2,NA,NA,,NA,NA,NA,NA,NA,,NA,mice
12,Pickard (1984) - Cited in Murphy & Nathan (in press),In press,Cited in chapter: Handbook of the Mammals of New Zealand,Original research,1981-1982,All,Mana Island,Island,Range: 5.2-71,NA,NA,,NA,NA,NA,NA,NA,,NA,mice
13,Reynolds (2015) - Cited in Murphy & Nathan (in press),In press,Cited in chapter: Handbook of the Mammals of New Zealand,Original research,2014,Autumn,Moturekareka Island,Island,81,NA,NA,,NA,NA,NA,NA,NA,,NA,mice
14,Reynolds (2015) - Cited in Murphy & Nathan (in press),In press,Cited in chapter: Handbook of the Mammals of New Zealand,Original research,2014,Autumn,Maud Island,Island,138,NA,NA,,NA,NA,NA,NA,NA,,NA,mice
15,Reynolds (2015) - Cited in Murphy & Nathan (in press),In press,Cited in chapter: Handbook of the Mammals of New Zealand,Original research,2014,Autumn,Moturekareka Island,Island,34,NA,NA,,NA,NA,NA,NA,NA,,NA,mice
90,Russell & Mackay - Cited in Innes (in press),In press,Cited in book chapter: Handbook of the Mammals of New Zealand,Personal communication,NA,NA,Pakihi Island,Island,,NA,,1:01,NA,NA,,NA,,,,Nrat
